configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
output_60,107_weka,weka.core.Memory,3,136,178,76
output_60,107_weka,weka.core.Memory,4,165,178,93
output_60,107_weka,weka.core.Memory,5,163,178,92
output_60,107_weka,weka.core.Memory,6,166,178,93
output_60,107_weka,weka.core.Memory,7,159,178,89
output_60,107_weka,weka.core.Memory,8,166,178,93
output_60,107_weka,weka.core.Memory,9,162,178,91
output_60,107_weka,weka.core.Memory,10,166,178,93
output_60,107_weka,weka.classifiers.Evaluation,1,662,4380,15
output_60,107_weka,weka.classifiers.Evaluation,2,1028,4380,23
output_60,107_weka,weka.classifiers.Evaluation,3,1036,4380,24
output_60,107_weka,weka.classifiers.Evaluation,4,1064,4380,24
output_60,107_weka,weka.classifiers.Evaluation,5,926,4380,21
output_60,107_weka,weka.classifiers.Evaluation,6,840,4380,19
output_60,107_weka,weka.classifiers.Evaluation,7,973,4380,22
output_60,107_weka,weka.classifiers.Evaluation,8,944,4380,22
output_60,107_weka,weka.classifiers.Evaluation,9,1011,4380,23
output_60,107_weka,weka.classifiers.Evaluation,10,919,4380,21
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1,201,779,26
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,2,226,779,29
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,3,120,779,15
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,4,189,779,24
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,5,234,779,30
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,6,195,779,25
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,7,180,779,23
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,8,217,779,28
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,9,198,779,25
output_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,10,186,779,24
output_60,107_weka,weka.core.FindWithCapabilities,1,217,948,23
output_60,107_weka,weka.core.FindWithCapabilities,2,199,948,21
output_60,107_weka,weka.core.FindWithCapabilities,3,233,948,25
output_60,107_weka,weka.core.FindWithCapabilities,4,245,948,26
output_60,107_weka,weka.core.FindWithCapabilities,5,220,948,23
output_60,107_weka,weka.core.FindWithCapabilities,6,258,948,27
output_60,107_weka,weka.core.FindWithCapabilities,7,335,948,35
output_60,107_weka,weka.core.FindWithCapabilities,8,267,948,28
output_60,107_weka,weka.core.FindWithCapabilities,9,227,948,24
output_60,107_weka,weka.core.FindWithCapabilities,10,245,948,26
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,1,129,314,41
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,2,105,314,33
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,3,119,314,38
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,4,122,314,39
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,5,143,314,46
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,6,127,314,40
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,7,133,314,42
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,8,138,314,44
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,9,137,314,44
output_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,10,127,314,40
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,1,134,244,55
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,2,100,244,41
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,3,128,244,52
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,4,131,244,54
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,5,107,244,44
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,6,128,244,52
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,7,107,244,44
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,8,132,244,54
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,9,104,244,43
output_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,10,106,244,43
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,1,47,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,2,46,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,3,46,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,4,46,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,5,46,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,6,47,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,7,46,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,8,47,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,9,47,150,31
output_60,109_pdfsam,jcmdline.HelpCmdLineHandler,10,47,150,31
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,1,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,2,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,3,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,4,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,5,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,6,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,7,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,8,0,107,0
