configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,1,124,244,51
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,2,148,244,61
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,3,127,244,52
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,4,174,244,71
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,5,146,244,60
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,6,126,244,52
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,7,149,244,61
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,8,155,244,64
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,9,175,244,72
default_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,10,173,244,71
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,1,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,2,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,3,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,4,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,5,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,6,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,7,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,8,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,9,47,150,31
default_60,109_pdfsam,jcmdline.HelpCmdLineHandler,10,47,150,31
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,1,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,2,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,3,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,4,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,5,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,6,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,7,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,8,0,107,0
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,9,6,107,6
default_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,10,6,107,6
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,1,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,2,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,3,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,4,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,5,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,6,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,7,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,8,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,9,35,36,97
default_60,11_imsmart,com.imsmart.servlet.HTMLFilter,10,35,36,97
