configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,3,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,4,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,5,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,6,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,7,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,8,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,9,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,10,35,36,97
branch_60,110_firebird,org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,10,154,3590,4
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,1,234,355,66
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,2,235,355,66
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,3,227,355,64
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,4,233,355,66
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,5,242,355,68
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,6,232,355,65
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,7,218,355,61
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,8,233,355,66
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,9,230,355,65
branch_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,10,229,355,65
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,1,302,682,44
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,2,346,682,51
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,3,366,682,54
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,4,369,682,54
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,5,356,682,52
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,6,371,682,54
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,7,352,682,52
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,8,361,682,53
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,9,366,682,54
branch_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,10,360,682,53
branch_60,12_dsachat,dsachat.server.Handler,1,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,2,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,3,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,4,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,5,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,6,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,7,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,8,146,492,30
branch_60,12_dsachat,dsachat.server.Handler,9,149,492,30
branch_60,12_dsachat,dsachat.server.Handler,10,146,492,30
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,1,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,2,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,3,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,4,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,5,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,6,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,7,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,8,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,9,15,421,4
branch_60,12_dsachat,dsachat.client.gui.InternalChatFrame,10,15,421,4
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,1,769,976,79
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,2,725,976,74
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,3,722,976,74
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,4,685,976,70
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,5,664,976,68
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,6,677,976,69
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,7,753,976,77
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,8,711,976,73
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,9,700,976,72
branch_60,13_jdbacl,org.databene.jdbacl.SQLUtil,10,711,976,73
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,1,271,828,33
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,2,217,828,26
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,3,193,828,23
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,4,258,828,31
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,5,282,828,34
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,6,242,828,29
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,7,270,828,33
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,8,224,828,27
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,9,260,828,31
branch_60,13_jdbacl,org.databene.jdbacl.DBUtil,10,205,828,25
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,1,36,62,58
